,MSD,form,eng_gloss,gitksan_gloss,morph,paradigm_i
0,ROOT,ayooK,law,ayooK,ayook̲,0
1,ROOT;3.II,ayooKt,law-3.II,ayooK-3.II,ayook̲-t,0
2,ROOT;1PL.II,ayooGa'm,law-1PL.II,ayooK-1PL.II,ayook̲-'m,0
3,ROOT;3PL.II,ayooKdiit,law-3PL.II,ayooK-3PL.II,ayook̲-diit,0
1,ROOT,'nekw,lon,'nekw,'nekw,3
2,ROOT;PL,'niiluxw,long.PL,'niiluxw.PL,'niiluxw,3
4,ROOT;SX,'negwit,long-SX,'nekw-SX,'nekw-it,3
5,ROOT;3.II,'nekwt,long-3.II,'nekw-3.II,'nekw-t,3
0,ROOT,wil,be/do,wil,wil,4
1,ROOT;SX,wilt,be/do-SX,wil-SX,wil-it,4
2,ROOT;3PL,wilda,be/do-3PL,wil-3PL,wil-da,4
3,ROOT;3.II,wilt,be/do-3.II,wil-3.II,wil-t,4
4,ROOT;1PL.II,wili'm,be/do-1PL.II,wil-1PL.II,wil-'m,4
5,ROOT;2PL.II,wilsi'm,be/do-2PL.II,wil-2PL.II,wil-si'm,4
7,ROOT;3PL.II,wildiit,be/do-3PL.II,wil-3PL.II,wil-diit,4
8,ROOT;2SG.II,win,be/do-2SG.II,wil-2SG.II,wil-n,4
9,ROOT;1SG.II,wili'y,be/do-1SG.II,wil-1SG.II,wil-'y,4
0,ROOT,'nu'w,die,'nu'w,'nu'w,5
1,ROOT;PL,dexw,die.PL,dexw.PL,dexw,5
2,ROOT;SX,'nu'wit,die-SX,'nu'w-SX,'nu'w-it,5
4,ROOT;3.II,'nu'wt,die-3.II,'nu'w-3.II,'nu'w-t,5
5,ROOT;PL;SX,dexwit,die.PL-SX,dexw.PL-SX,dexw-it,5
6,ROOT;3PL.II,'nu'wdiit,die-3PL.II,'nu'w-3PL.II,'nu'w-diit,5
7,ROOT;PL;3.II,dexwt,die.PL-3.II,dexw.PL-3.II,dexw-t,5
8,ROOT;PL;3PL.II,dexwdiit,die.PL-3PL.II,dexw.PL-3PL.II,dexw-diit,5
0,ROOT,sdik'eekw,siblin,sdik'eekw,sdik'eekw,6
1,ROOT;3.II,sdik'eekwt,sibling-3.II,sdik'eekw-3.II,sdik'eekw-t,6
2,ROOT;2SG.II,sdik'eegwin,sibling-2SG.II,sdik'eekw-2SG.II,sdik'eekw-n,6
0,ROOT,neks,spouse,neks,neks,7
2,ROOT;PL,niiniks,spouse.PL,niiniks.PL,niiniks,7
4,ROOT;ATTR,neksim,spouse-ATTR,neks-ATTR,neks-m,7
6,ROOT;3.II,nekst,spouse-3.II,neks-3.II,neks-t,7
0,ROOT,hlguuhlxw,offsprin,hlguuhlxw,hlguuhlxw,9
1,ROOT;PL,hlgi,offspring.PL,hlgi.PL,hlgi,9
2,ROOT;ATTR,hlguuhlxum,offspring-ATTR,hlguuhlxw-ATTR,hlguuhlxw-m,9
3,ROOT;1SG.II,hlguuhlxwi'y,offspring-1SG.II,hlguuhlxw-1SG.II,hlguuhlxw-'y,9
5,ROOT;PL;ATTR,hlgim,offspring.PL-ATTR,hlgi.PL-ATTR,hlgi-m,9
