,Unnamed: 0_src,MSD_src,form_src,eng_gloss_src,gitksan_gloss_src,morph_src,paradigm_i,Unnamed: 0_tgt,MSD_tgt,form_tgt,eng_gloss_tgt,gitksan_gloss_tgt,morph_tgt
1,216,ROOT,algaX,spea,algaX,algax̲,66,218,ROOT;1SG.II,algaXa'y,speak-1SG.II,algaX-1SG.II,algax̲-'y
2,216,ROOT,algaX,spea,algaX,algax̲,66,217,ROOT;3.II,algaXt,speak-3.II,algaX-3.II,algax̲-t
3,218,ROOT;1SG.II,algaXa'y,speak-1SG.II,algaX-1SG.II,algax̲-'y,66,216,ROOT,algaX,spea,algaX,algax̲
5,218,ROOT;1SG.II,algaXa'y,speak-1SG.II,algaX-1SG.II,algax̲-'y,66,217,ROOT;3.II,algaXt,speak-3.II,algaX-3.II,algax̲-t
6,217,ROOT;3.II,algaXt,speak-3.II,algaX-3.II,algax̲-t,66,216,ROOT,algaX,spea,algaX,algax̲
7,217,ROOT;3.II,algaXt,speak-3.II,algaX-3.II,algax̲-t,66,218,ROOT;1SG.II,algaXa'y,speak-1SG.II,algaX-1SG.II,algax̲-'y
10,1186,ROOT,sbaGaytGan,among-tree,sbaGayt-Gan,sbag̲ayt-g̲an,915,1187,ROOT;PL,sbaGaytGanGan,among-PL~tree,_,sbag̲ayt-CVC~g̲an
11,1187,ROOT;PL,sbaGaytGanGan,among-PL~tree,_,sbag̲ayt-CVC~g̲an,915,1186,ROOT,sbaGaytGan,among-tree,sbaGayt-Gan,sbag̲ayt-g̲an
14,59,ROOT;3PL.II,hogaXdiit,correct-3PL.II,hugwaX-3PL.II,hogax̲-diit,14,56,ROOT,hugwaX,correct,hugwaX,hugwax̲
15,56,ROOT,hugwaX,correct,hugwaX,hugwax̲,14,59,ROOT;3PL.II,hogaXdiit,correct-3PL.II,hugwaX-3PL.II,hogax̲-diit
18,920,ROOT;3.II,yukwt,move-3.II,yukw-3.II,yukw-t,658,919,ROOT,yukw,move,yukw,yukw
19,919,ROOT,yukw,move,yukw,yukw,658,920,ROOT;3.II,yukwt,move-3.II,yukw-3.II,yukw-t
22,387,ROOT,noX,mother,noX,nox̲,154,390,ROOT;3PL.II,noXdiit,mother-3PL.II,noX-3PL.II,nox̲-diit
23,387,ROOT,noX,mother,noX,nox̲,154,391,ROOT;2SG.II,noXon,mother-2SG.II,noX-2SG.II,nox̲-n
24,387,ROOT,noX,mother,noX,nox̲,154,389,ROOT;1PL.II,noXo'm,mother-1PL.II,noX-1PL.II,nox̲-'m
25,390,ROOT;3PL.II,noXdiit,mother-3PL.II,noX-3PL.II,nox̲-diit,154,387,ROOT,noX,mother,noX,nox̲
27,390,ROOT;3PL.II,noXdiit,mother-3PL.II,noX-3PL.II,nox̲-diit,154,391,ROOT;2SG.II,noXon,mother-2SG.II,noX-2SG.II,nox̲-n
28,390,ROOT;3PL.II,noXdiit,mother-3PL.II,noX-3PL.II,nox̲-diit,154,389,ROOT;1PL.II,noXo'm,mother-1PL.II,noX-1PL.II,nox̲-'m
29,391,ROOT;2SG.II,noXon,mother-2SG.II,noX-2SG.II,nox̲-n,154,387,ROOT,noX,mother,noX,nox̲
30,391,ROOT;2SG.II,noXon,mother-2SG.II,noX-2SG.II,nox̲-n,154,390,ROOT;3PL.II,noXdiit,mother-3PL.II,noX-3PL.II,nox̲-diit
32,391,ROOT;2SG.II,noXon,mother-2SG.II,noX-2SG.II,nox̲-n,154,389,ROOT;1PL.II,noXo'm,mother-1PL.II,noX-1PL.II,nox̲-'m
33,389,ROOT;1PL.II,noXo'm,mother-1PL.II,noX-1PL.II,nox̲-'m,154,387,ROOT,noX,mother,noX,nox̲
34,389,ROOT;1PL.II,noXo'm,mother-1PL.II,noX-1PL.II,nox̲-'m,154,390,ROOT;3PL.II,noXdiit,mother-3PL.II,noX-3PL.II,nox̲-diit
35,389,ROOT;1PL.II,noXo'm,mother-1PL.II,noX-1PL.II,nox̲-'m,154,391,ROOT;2SG.II,noXon,mother-2SG.II,noX-2SG.II,nox̲-n
38,750,ROOT,maas,bar,maas,maas,438,751,ROOT;ATTR,maasa,bark-ATTR,maas-ATTR,maas-a
39,751,ROOT;ATTR,maasa,bark-ATTR,maas-ATTR,maas-a,438,750,ROOT,maas,bar,maas,maas
42,786,ROOT,'mootxw,mob,'mootxw,'mootxw,490,787,ROOT;TR;3.II,'mootxwit,mob-TR-3.II,'mootxw-TR-3.II,'mootxw-i-t
