,MSD,form,eng_gloss,gitksan_gloss,morph,paradigm_i
216,ROOT,algaX,spea,algaX,algax̲,66
218,ROOT;1SG.II,algaXa'y,speak-1SG.II,algaX-1SG.II,algax̲-'y,66
217,ROOT;3.II,algaXt,speak-3.II,algaX-3.II,algax̲-t,66
1186,ROOT,sbaGaytGan,among-tree,sbaGayt-Gan,sbag̲ayt-g̲an,915
1187,ROOT;PL,sbaGaytGanGan,among-PL~tree,_,sbag̲ayt-CVC~g̲an,915
59,ROOT;3PL.II,hogaXdiit,correct-3PL.II,hugwaX-3PL.II,hogax̲-diit,14
56,ROOT,hugwaX,correct,hugwaX,hugwax̲,14
920,ROOT;3.II,yukwt,move-3.II,yukw-3.II,yukw-t,658
919,ROOT,yukw,move,yukw,yukw,658
387,ROOT,noX,mother,noX,nox̲,154
390,ROOT;3PL.II,noXdiit,mother-3PL.II,noX-3PL.II,nox̲-diit,154
391,ROOT;2SG.II,noXon,mother-2SG.II,noX-2SG.II,nox̲-n,154
389,ROOT;1PL.II,noXo'm,mother-1PL.II,noX-1PL.II,nox̲-'m,154
750,ROOT,maas,bar,maas,maas,438
751,ROOT;ATTR,maasa,bark-ATTR,maas-ATTR,maas-a,438
786,ROOT,'mootxw,mob,'mootxw,'mootxw,490
787,ROOT;TR;3.II,'mootxwit,mob-TR-3.II,'mootxw-TR-3.II,'mootxw-i-t,490
1049,ROOT,Goodain,all.gone-CAUS2,Gooda-in,g̲ooda-in,756
1050,ROOT;1PL.II,Goodini'm,all.gone-CAUS2-1PL.II,Gooda-in-1PL.II,g̲ooda-in-'m,756
1230,ROOT,laX'u,on-top,laX-u,lax̲-u,951
1231,ROOT;3.II,laX'ut,on-top-3.II,laX-u-3.II,lax̲-u-t,951
758,ROOT,gem,hot,gem,gemk,445
760,ROOT;ATTR,gemgim,hot-ATTR,gemk-ATTR,gemk-m,445
1133,ROOT;3.II,saGaytGoodat,together-all.gone-3.II,saGayt-Gooda-3.II,sag̲ayt-g̲ooda-t,862
1132,ROOT,saGaytGooda,together-all.gone,saGayt-Gooda,sag̲ayt-g̲ooda,862
724,ROOT;3PL.II,t'ayksxwdiit,turn/veer-3PL.II,t'ayksxw-3PL.II,t'ayksxw-diit,392
723,ROOT,t'ayksxw,turn/veer,t'ayksxw,t'ayksxw,392
880,ROOT;3.II,yukwt,feast.II-3.II,yukw-3.II,yukw-t,604
879,ROOT,yukw,feast.II,yukw,yukw,604
5,ROOT;PL,'niiluxw,long.PL,'niiluxw.PL,'niiluxw,3
6,ROOT;SX,'negwit,long-SX,'nekw-SX,'nekw-it,3
4,ROOT,'nekw,lon,'nekw,'nekw,3
287,ROOT;PL,huwilp,PL~house,PL~wilp,CV~wilp,96
286,ROOT,wilp,house,wilp,wilp,96
1137,ROOT;3.II,sGat'aat,blocking.way-sit-3.II,sGa-t'aa-3.II,sg̲a-t'aa-t,866
1136,ROOT,sGat'aa,blocking.way-sit,sGa-t'aa,sg̲a-t'aa,866
249,ROOT;1PL.II,hasaGa'm,desire-1PL.II,hasaK-1PL.II,hasak̲-'m,79
248,ROOT;3.II,hasaKt,desire-3.II,hasaK-3.II,hasak̲-t,79
247,ROOT;SX,hasaGat,desire-SX,hasaK-SX,hasak̲-it,79
250,ROOT;2PL.II,hasaKsi'm,desire-2PL.II,hasaK-2PL.II,hasak̲-si'm,79
341,ROOT,t'e,forget,t'e,t'ek,132
342,ROOT;3.II,t'ekt,forget-3.II,t'ek-3.II,t'ek-t,132
344,ROOT;TR;1SG.II,t'agi'y,forget-TR-1SG.II,t'ek-TR-1SG.II,t'ak-i-'y,132
738,ROOT;3.II,tK'am'ut,body-3.II,tK'am'u-3.II,tk̲'am'u-t,415
737,ROOT,tK'am'u,body,tK'am'u,tk̲'am'u,415
495,ROOT,xsaxw,go.out,xsaxw,xsaxw,206
498,ROOT;1SG.II,xsawi'y,go.out-1SG.II,xsaxw-1SG.II,xsaxw-'y,206
497,ROOT;3.II,xsaxwt,go.out-3.II,xsaxw-3.II,xsaxw-t,206
352,ROOT;3PL.II,maKdiit,put-3PL.II,maK-3PL.II,mak̲-diit,135
349,ROOT,maK,put,maK,mak̲,135
351,ROOT;3.II,maKt,put-3.II,maK-3.II,mak̲-t,135
1023,ROOT,iksdein,tasty-CAUS2,iksde-in,iksde-in,741
1024,ROOT;3.II,iksdedint,tasty-CAUS2-3.II,iksde-in-3.II,iksde-in-t,741
18,ROOT;PL,dexw,die.PL,dexw.PL,dexw,5
21,ROOT;PL;SX,dexwit,die.PL-SX,dexw.PL-SX,dexw-it,5
