TAG,GLOSS,MORPHEMIC,ORTHOGRAPHIC,GITGLOSS,EXCLUDE,ERROR,NOTES
ROOT,Skeena.river,xsan,xsan,xsan,,,
ROOT,look.after,di'y,di'y,di'y,,,
ROOT,together,sag̲ayt,sag̲ayt,sag̲ayt,1,,
ROOT,continually,g̲ani,g̲ani,g̲ani,1,,
ROOT,who,naa,naa,naa,1,,
ROOT,now,gyuu'n,gyuu'n,gyuu'n,1,,
ROOT,away/off,saa,saa,saa,1,,
ROOT,or,oo,oo,oo,1,,
ROOT,day,sa,sa,sa,,,
ROOT,rain,wis,wis,wis,,,
ROOT,mountain,sg̲a'nist,sg̲a'nist,sg̲a'nist,,,
ROOT,bag,dihlxw,dihlxw,dihlxw,,,
ROOT,other,ts'uu,ts'uu,ts'uu,1,,
ROOT,front,g̲ook̲,g̲ook̲,g̲ook̲,1,,
ROOT,outer.surface,daax,daax,daax,,,
ROOT,blocking.way,sg̲a,sg̲a,sg̲a,1,,
ROOT,sharply.down,t'ip,t'ip,t'ip,1,,
ROOT,too,g̲al,g̲al,g̲al,1,,
ROOT,among,sbag̲ayt,sbag̲ayt,sbag̲ayt,1,,
ROOT,repeatedly,k'uu,k'uu,k'uu,1,,
ROOT,no,nee,nee,nee,1,,
ROOT,morning,hiihluxw,hiihluxw,hiihluxw,,,
ROOT,character,gat,gat,gat,,,
ROOT,inside,ts'imil,ts'imil,ts'imil,1,,
ROOT,lift,bats,bats,bats,,,
ROOT,yet,k̲'a,k̲'a,k̲'a,1,,
ROOT,almost,moo,moo,moo,1,,
ROOT,charcoal,t'uuts',t'uuts',t'uuts',,,
ROOT,snow.on.ground,maaxws,maaxws,maaxws,,,
ROOT,killer.whale,neex̲hl,neex̲hl,neex̲hl,,,
ROOT,feel,aatx,aatx,aatx,,,
ROOT,too.much,guu,guu,guu,1,,
ROOT,book,bukw,bukw,bukw,,,
ROOT,new,sii,sii,sii,1,,
ROOT,precisely,wats',wats',wats',1,,
ROOT,blood,ihlee'e,ihlee'e,ihlee'e,,,
ROOT,shiny,dilx̲xw,dilx̲xw,dilx̲xw,,,
ROOT,over.there,duu'u,duu'u,duu'u,1,,
ROOT,slime,yahl,yahl,yahl,,,
ROOT,uphill,bax̲,bax̲,bax̲,,,
ROOT,hilltop,k̲'elt,k̲'elt,k̲'elt,,,
ROOT,cemetery,ansgiyast,ansgiyast,ansgiyast,,,
ROOT,Git,Git,Git,Git,,1,
ROOT,mind,x̲oo,x̲oo,x̲oo,,,
ROOT,upward,min,min,min,1,,
ROOT,visit,yeex̲s,yeex̲s,yeex̲s,,,
ROOT,seaweed,hlak̲'ahasxw,hlak̲'ahasxw,hlak̲'ahasxw,,,
ROOT,yes,ee'e,ee'e,ee'e,1,,
ROOT,grandmother,ts'iits',ts'iits',ts'iits',,,
ROOT,meat,smax,smax,smax,,,
ROOT,stew,jam,jam,jam,,,
ROOT,oh,oo,oo,oo,1,,
ROOT,swallow,hlok̲',hlok̲',hlok̲',,,
ROOT,giggle,yan,yan,yan,,,
ROOT,thunder,tye'etxw,tye'etxw,tye'etxw,,,
ROOT,land,yip,yip,yip,,,
ROOT,wake.up,gyuks,gyuks,gyuks,,,
ROOT,smoke,mi'in,mi'in,mi'in,,,
ROOT,come.here,g̲ala,g̲ala,g̲ala,1,,
ROOT,train,train,train,train,1,1,
ROOT,dress.up,nuutxw,nuutxw,nuutxw,,,
ROOT,door,aats'ip,aats'ip,aats'ip,,,
ROOT,in.case,up,up,up,1,,
ROOT,girl,flika,flika,flika,1,,
ROOT,bait,nax̲,nax̲,nax̲,,,
ROOT,fish.hook,t'a'wilt,t'a'wilt,t'a'wilt,,,
ROOT,bite,hats',hats',hats',,,
ROOT,hopeless,gwaa'y,gwaa'y,gwaa'y,1,,
ROOT,misfortune,esdiwaal,esdiwaal,esdiwaal,,,
ROOT,more,k'aa,k'aa,k'aa,1,,
ROOT,moose,x̲adaa,x̲adaa,x̲adaa,,,
ROOT,beaver,ts'imilix,ts'imilix,ts'imilix,,,
ROOT,dance,miiluxw,miiluxw,miiluxw,,,
ROOT,write,t'imis,t'imis,t'imis,,,
ROOT,yesterday,ky'oots,ky'oots,ky'oots,1,,
ROOT,bread,anaax,anaax,anaax,,,
ROOT,cup,kap,kap,kap,1,1,
ROOT,half,sda,sda,sda,1,,
ROOT,spoon,hoobix,hoobix,hoobix,,,
ROOT,pour,g̲ats,g̲ats,g̲ats,,,
ROOT,round,t'aabeek̲'xw,t'aabeek̲'xw,t'aabeek̲'xw,,,
ROOT,square,sook̲,sook̲,sook̲,,,
ROOT,mash,wits',wits',wits',,,
ROOT,celery,seleli,seleli,seleli,,,
ROOT,jelly,jelii,jelii,jelii,1,1,
ROOT,roll,lool,lool,lool,1,1,
